term,results
(Intercept),"b = 0.02, SE = 0.01, t(252) = 1.78, p = .077, r = 0.11"
trial,"b = −0.18, SE = 0.03, t(63) = −5.93, p < .001, r = 0.60"
gripSuccess,"b = −0.01, SE = 0.01, t(148) = −1.31, p = .193, r = 0.11"
choiceC,"b = 0.009, SE = 0.006, t(63) = 1.47, p = .146, r = 0.18"
outcomeReward,"b = 0.04, SE = 0.009, t(70) = 3.88, p < .001, r = 0.42"
offerReward:offerProbability,"b = −0.04, SE = 0.04, t(16669) = −0.97, p = .332, r = 0.008"
