term,results
(Intercept),"b = 0.50, SE = 0.002, t(64) = 317.52, p < .001, r = 1.00"
offerReward,"b = 0.001, SE = 0.004, t(15315) = 0.38, p = .705, r = 0.003"
offerProbability,"b = -0.007, SE = 0.003, t(15230) = -1.90, p = .058, r = 0.02"
trial,"b = 0.005, SE = 0.007, t(11676) = 0.69, p = .491, r = 0.006"
choiceC,"b = 0.001, SE = 0.002, t(12380) = 0.63, p = .526, r = 0.006"
rtC,"b = 1e-05, SE = 0.002, t(51) = 0.009, p = .993, r = 0.001"
offerReward:offerProbability,"b = 0.02, SE = 0.02, t(73) = 1.20, p = .233, r = 0.14"
