term,results
(Intercept),"b = 0.89, SE = 0.02, t(63) = 43.04, p < .001, r = 0.98"
offerReward,"b = -0.10, SE = 0.04, t(63) = -2.48, p = .016, r = 0.30"
offerProbability,"b = -0.05, SE = 0.03, t(64) = -1.46, p = .148, r = 0.18"
trial,"b = -1.27, SE = 0.10, t(63) = -12.71, p < .001, r = 0.85"
offerReward:offerProbability,"b = -0.57, SE = 0.11, t(67) = -5.19, p < .001, r = 0.54"
