term,results
(Intercept),"b = 0.92, SE = 0.02, t(63) = 40.13, p < .001, r = 0.98"
offerReward,"b = -0.08, SE = 0.03, t(68) = -2.83, p = .006, r = 0.33"
offerProbability,"b = -0.04, SE = 0.02, t(73) = -1.54, p = .129, r = 0.18"
choiceC,"b = -0.008, SE = 0.03, t(54) = -0.25, p = .800, r = 0.03"
trial,"b = -1.19, SE = 0.09, t(63) = -12.70, p < .001, r = 0.85"
offerReward:offerProbability,"b = -0.26, SE = 0.10, t(76) = -2.63, p = .010, r = 0.29"
offerReward:choiceC,"b = -0.40, SE = 0.08, t(60) = -4.82, p < .001, r = 0.53"
offerProbability:choiceC,"b = -0.28, SE = 0.07, t(64) = -4.29, p < .001, r = 0.47"
offerReward:offerProbability:choiceC,"b = -0.12, SE = 0.22, t(5377) = -0.53, p = .597, r = 0.007"
